slug,name,nation,type,status,bodyLengthMm,image,imageExists
is-7,"IS-7 (Object 260)",USSR,"Heavy tank","Prototype",7380,assets/img/tanks/is-7-base-coat-side-detail.jpg,true
isu-152,"ISU-152 (ISU-152)",USSR,"Assault gun","",6770,assets/img/tanks/isu152-base-coat-side-detail.jpg,true
jagdpanther,"Jagdpanther (Sd.Kfz. 173 Jagdpanther)",Germany,"Tank destroyer","",6870,assets/img/tanks/jagdpanther-base-coat-side-detail.jpg,true
jagdpanther-ii,"Jagdpanther II (Jagdpanther 2)",Germany,"Tank destroyer","What-if / paper project",6870,assets/img/tanks/jagdpanther-ii-base-coat-side-detail.jpg,true
jagdpz-iv,"Jagdpz IV (Jagdpanzer IV)",Germany,"Tank destroyer","",5900,assets/img/tanks/jgdpz-iv-base-coat-side-detail.jpg,true
jagdtiger,"Jagdtiger (Sd.Kfz. 186 Jagdtiger)",Germany,"Tank destroyer","",7450,assets/img/tanks/jagdtiger-base-coat-side-detail.jpg,true
luchs,"Luchs (Pz.Kpfw. II Ausf. L Luchs)",Germany,"Light tank","",4630,assets/img/tanks/luchs-base-coat-side-detail.jpg,true
m3-lee,"M3 Lee (Medium Tank M3 Lee)",USA,"Medium tank","",5640,assets/img/tanks/m3-lee-base-coat-side-detail.jpg,true
m5a1-stuart,"M5A1 Stuart (Light Tank M5A1 Stuart)",USA,"Light tank","",4840,assets/img/tanks/m5a1-stuart-base-coat-side-detail.jpg,true
maus,"Maus (Panzer VIII Maus)",Germany,"Super heavy tank","Prototype",10200,assets/img/tanks/maus-base-coat-side-detail.jpg,true
nashorn,"Nashorn (Sd.Kfz. 164 Nashorn)",Germany,"Tank destroyer","",6200,assets/img/tanks/nashorn-base-coat-side-detail.jpg,true
panther,"Panther (Pz.Kpfw. V Panther)",Germany,"Medium tank","",6870,assets/img/tanks/panther-base-coat-side-detail.jpg,true
panzer-iii,"Panzer III (Pz.Kpfw. III)",Germany,"Medium tank","",5380,assets/img/tanks/pz-iii-base-coat-side-detail.jpg,true
panzer-vii-loewe,"Panzer VII Loewe (Panzerkampfwagen VII Loewe)",Germany,"Super heavy tank","What-if / paper project",7700,assets/img/tanks/loewe-base-coat-side-detail.jpg,true
panzer-35t,"Panzer 35(t) (Lehký tank vz. 35)",Germany,"Light tank","",4900,assets/img/tanks/pz35t-base-coat-side-detail.jpg,true
panzer-38t,"Panzer 38(t) (Lehký tank vz. 38)",Germany,"Light tank","",4610,assets/img/tanks/pz38t-base-coat-side-detail.jpg,true
pershing,"Pershing (M26 Pershing)",USA,"Heavy tank","",6330,assets/img/tanks/pershing-base-coat-side-detail.jpg,true
sherman-firefly,"Sherman Firefly (Sherman VC Firefly)",UK,"Medium tank","",5840,assets/img/tanks/sherman-firefly-base-coat-side-detail.jpg,true
stug-iii,"StuG III (Sturmgeschütz III)",Germany,"Assault gun","",5900,assets/img/tanks/stug-iii-base-coat-side-detail.jpg,true
sd-kfz-234,"Sd.Kfz. 234 (Schwerer Panzerspaehwagen Sd.Kfz. 234)",Germany,"Armored car","",5860,assets/img/tanks/sdkfz-234-base-coat-side-detail.jpg,true
t-28,"T-28 (T-28 Medium Tank)",USSR,"Medium tank","",7440,assets/img/tanks/t28-base-coat-side-detail.jpg,true
t-34,"T-34 (T-34 Model 1942)",USSR,"Medium tank","",6100,assets/img/tanks/t34-base-coat-side-detail.jpg,true
tiger-ii,"Tiger II (Pz.Kpfw. VI Tiger Ausf. B)",Germany,"Heavy tank","",7380,assets/img/tanks/tiger-ii-base-coat-side-detail.jpg,true
hummel,"Hummel (Sd.Kfz. 165 Hummel)",Germany,"Self-propelled artillery","",7170,assets/img/tanks/hummel-base-coat-side-detail.jpg,true
is-1,"IS-1 (Iosif Stalin-1)",USSR,"Heavy tank","",6770,assets/img/tanks/is1-base-coat-side-detail.jpg,true
is-2,"IS-2 (Iosif Stalin-2)",USSR,"Heavy tank","",6770,assets/img/tanks/is-2-base-coat-side-detail.jpg,true
isu-122,"ISU-122 (ISU-122)",USSR,"Tank destroyer","",6770,assets/img/tanks/isu122-base-coat-side-detail.jpg,true
jagdpanzer-e100,"Jagdpanzer E 100 (Jagdpanzer E 100)",Germany,"Tank destroyer","What-if / paper project",8700,assets/img/tanks/jagdpanzer-e100-base-coat-side-detail.jpg,true
kv-1,"KV-1 (Kliment Voroshilov-1)",USSR,"Heavy tank","",6750,assets/img/tanks/kv-1-base-coat-side-detail.jpg,true
kv-2,"KV-2 (Kliment Voroshilov-2)",USSR,"Heavy tank","",6790,assets/img/tanks/kv2-base-coat-side-detail.jpg,true
churchill-iv-fascine,"Churchill IV Fascine (Churchill fascine carrier)",UK,"Engineering tank","",7440,assets/img/tanks/churchill-iv-fascine-base-coat-side-detail.jpg,true
churchill-iv,"Churchill IV (Infantry Tank Mk IV Churchill IV)",UK,"Heavy tank","",7440,assets/img/tanks/churchill-iv-base-coat-side-detail.jpg,true
m10-wolverine,"M10 Wolverine (3-inch Gun Motor Carriage M10)",USA,"Tank destroyer","",5970,assets/img/tanks/m10-wolverine-base-coat-side-detail.jpg,true
m10-achilles,"M10 Achilles (17-pounder SP Achilles)",UK,"Tank destroyer","",5970,assets/img/tanks/m10-achilles-base-coat-side-detail.jpg,true
m13-40,"M13/40 (Carro Armato M13/40)",Italy,"Medium tank","",4920,assets/img/tanks/m13-40-base-coat-side-detail.jpg,true
m14-41,"M14/41 (Carro Armato M14/41)",Italy,"Medium tank","",4920,assets/img/tanks/m14-41-base-coat-side-detail.jpg,true
m3-half-track,"M3 Half-track (M3 Half-track)",USA,"Half-track","",6180,assets/img/tanks/m3-half-truck-base-coat-side-detail.jpg,true
opel-blitz,"Opel Blitz Truck (Opel Blitz 3-ton Truck)",Germany,"Truck","",6100,assets/img/tanks/opel-blitz-base-coat-side-detail.jpg,true
m60a1,"M60A1 (M60A1 Patton)",USA,"Main battle tank","",6950,assets/img/tanks/m60a1-base-coat-side-detail.jpg,true
m7-priest,"M7 Priest (105 mm Howitzer Motor Carriage M7)",USA,"Self-propelled artillery","",6020,assets/img/tanks/m7-priest-base-coat-side-detail.jpg,true
m8-greyhound,"M8 Greyhound (Light Armored Car M8)",USA,"Armored car","",5000,assets/img/tanks/m8-greyhound-base-coat-side-detail.jpg,true
su-76,"SU-76 (Samokhodnaya Ustanovka 76)",USSR,"Self-propelled gun","",5000,assets/img/tanks/su76-base-coat-side-detail.jpg,true
su-100,"SU-100 (Samokhodnaya Ustanovka 100)",USSR,"Tank destroyer","",6100,assets/img/tanks/su100-base-coat-side-detail.jpg,true
su-122,"SU-122 (Samokhodnaya Ustanovka 122)",USSR,"Self-propelled gun","",6100,assets/img/tanks/su122-base-coat-side-detail.jpg,true
t-34-minesweeper,"T-34 Minesweeper (T-34 Mine Roller)",USSR,"Engineering tank","",6100,assets/img/tanks/t34-minesweeper-base-coat-side-detail.jpg,true
a-32,"A-32 (A-32 Prototype)",USSR,"Medium tank","Prototype",5920,assets/img/tanks/a32-base-coat-side-detail.jpg,true
t-35,"T-35 (T-35 Heavy Tank)",USSR,"Heavy tank","",9720,assets/img/tanks/t-35-base-coat-side-detail.jpg,true
zis-42,"ZiS-42 (ZiS-42 Half-track Truck)",USSR,"Half-track","",6100,assets/img/tanks/zis-42-base-coat-side-detail.jpg,true
t-38,"T-38 (T-38 Amphibious Scout Tank)",USSR,"Light tank","",3780,assets/img/tanks/t-38-base-coat-side-detail.jpg,true
gaz-aa,"GAZ-AA Truck (GAZ-AA)",USSR,"Truck","",5340,assets/img/tanks/gaz-aa-base-coat-side-detail.jpg,true
t-26,"T-26 (T-26 Light Tank)",USSR,"Light tank","",4650,assets/img/tanks/t-26-base-coat-side-detail.jpg,true
ba-64,"BA-64 (BA-64 Armored Car)",USSR,"Armored car","",3660,assets/img/tanks/ba-64-base-coat-side-detail.jpg,true
stz-5,"STZ-5 (STZ-5 Artillery Tractor)",USSR,"Artillery tractor","",4150,assets/img/tanks/stz-5-base-coat-side-detail.jpg,true
t-26-twin-turret,"T-26 Twin-Turret (T-26 Model 1931)",USSR,"Light tank","",4650,assets/img/tanks/t-26-twin-turret-base-coat-side-detail.jpg,true
ba-6,"BA-6 (BA-6 Armored Car)",USSR,"Armored car","",4900,assets/img/tanks/ba-6-base-coat-side-detail.jpg,true
b-4-howitzer,"B-4 Howitzer (203 mm Howitzer M1931 B-4)",USSR,"Artillery","",9360,assets/img/tanks/b-4-howitzer-base-coat-side-detail.jpg,true
t-70,"T-70 (T-70 Light Tank)",USSR,"Light tank","",4290,assets/img/tanks/t70-base-coat-side-detail.jpg,true
wespe,"Wespe (Sd.Kfz. 124 Wespe)",Germany,"Self-propelled artillery","",4790,assets/img/tanks/wespe-base-coat-side-detail.jpg,true
type-95-ha-go,"Type 95 Ha-Go (Type 95 Light Tank Ha-Go)",Japan,"Light tank","",4380,assets/img/tanks/type95-base-coat-side-detail.jpg,true
type-97-chi-ha,"Type 97 Chi-Ha (Type 97 Medium Tank Chi-Ha)",Japan,"Medium tank","",5520,assets/img/tanks/type97-base-coat-side-detail.jpg,true
cromwell,"Cromwell IV (Cruiser Tank Mk VIII Cromwell IV)",UK,"Medium tank","",6350,assets/img/tanks/cromwell-base-coat-side-detail.jpg,true
valentine,"Valentine (Infantry Tank Mk III Valentine)",UK,"Infantry tank","",5410,assets/img/tanks/valentine-base-coat-side-detail.jpg,true
matilda-ii,"Matilda II (Infantry Tank Mk II Matilda II)",UK,"Infantry tank","",5720,assets/img/tanks/matilda-ii-base-coat-side-detail.jpg,true
bishop,"Bishop (Carrier Valentine 25-pdr Gun Mk I)",UK,"Self-propelled artillery","",5490,assets/img/tanks/bishop-base-coat-side-detail.jpg,true
centaur,"Centaur IV (Cruiser Tank Mk VIII Centaur IV)",UK,"Medium tank","",6350,assets/img/tanks/centaur-base-coat-side-detail.jpg,true
archer,"Archer (Self-Propelled 17-pdr, Valentine, Mk I)",UK,"Tank destroyer","",6540,assets/img/tanks/archer-base-coat-side-detail.jpg,true
m24-chaffee,"M24 Chaffee (Light Tank M24)",USA,"Light tank","",5030,assets/img/tanks/m24-chaffee-base-coat-side-detail.jpg,true
fcm-f1,"FCM F1 (Char de Forteresse FCM F1)",France,"Super heavy tank","What-if / paper project",10530,assets/img/tanks/fcm-f1-base-coat-side-detail.jpg,true
kv-1s,"KV-1S (Kliment Voroshilov-1S)",USSR,"Heavy tank","",6750,assets/img/tanks/kv-1s-base-coat-side-detail.jpg,true
tortoise,"A39 Tortoise (Tank, Heavy Assault, Tortoise)",UK,"Super heavy tank","Prototype",7240,assets/img/tanks/tortoise-base-coat-side-detail.jpg,true
t28-t95-transport,"T28/T95 Transport Configuration (Super Heavy Tank T28)",USA,"Super heavy tank","Prototype",7490,assets/img/tanks/t28-t95-transport-base-coat-side-detail.jpg,true
t28-t95-combat,"T28/T95 Combat Configuration (Super Heavy Tank T28)",USA,"Super heavy tank","Prototype",7490,assets/img/tanks/t28-t95-combat-base-coat-side-detail.jpg,true
t29,"T29 (Heavy Tank T29)",USA,"Heavy tank","Prototype",7610,assets/img/tanks/t29-base-coat-side-detail.jpg,true
t30,"T30 (Heavy Tank T30)",USA,"Heavy tank","Prototype",7610,assets/img/tanks/t30-base-coat-side-detail.jpg,true
t34-heavy-tank,"T34 Heavy Tank (Heavy Tank T34)",USA,"Heavy tank","Prototype",7610,assets/img/tanks/t34-heavy-tank-base-coat-side-detail.jpg,true
kv-5,"KV-5 (KV-5 Heavy Tank Project)",USSR,"Heavy tank","What-if / paper project",7800,assets/img/tanks/kv-5-base-coat-side-detail.jpg,true
kv-85,"KV-85 (Kliment Voroshilov-85)",USSR,"Heavy tank","",6750,assets/img/tanks/kv-85-base-coat-side-detail.jpg,true
sturmtiger,"Sturmtiger (Sturmmorser Tiger)",Germany,"Assault gun","",6280,assets/img/tanks/sturmtiger-base-coat-side-detail.jpg,true
